"date","(중국 AND  대만 AND  양안)"
"20000101","10"
"20000108","1"
"20000115","6"
"20000122","0"
"20000129","8"
"20000205","0"
"20000212","3"
"20000219","32"
"20000226","17"
"20000304","20"
"20000311","27"
"20000318","147"
"20000325","20"
"20000401","7"
"20000408","12"
"20000415","21"
"20000422","15"
"20000429","12"
"20000506","15"
"20000513","25"
"20000520","50"
"20000527","7"
"20000603","2"
"20000610","41"
"20000617","30"
"20000624","8"
"20000701","9"
"20000708","11"
"20000715","5"
"20000722","11"
"20000729","6"
"20000805","7"
"20000812","6"
"20000819","5"
"20000826","1"
"20000902","7"
"20000909","3"
"20000916","17"
"20000923","4"
"20000930","8"
"20001007","3"
"20001014","11"
"20001021","9"
"20001028","6"
"20001104","3"
"20001111","9"
"20001118","11"
"20001125","11"
"20001202","2"
"20001209","5"
"20001216","3"
"20001223","23"
"20001230","36"
"20010106","10"
"20010113","7"
"20010120","6"
"20010127","1"
"20010203","8"
"20010210","7"
"20010217","5"
"20010224","7"
"20010303","10"
"20010310","5"
"20010317","12"
"20010324","8"
"20010331","4"
"20010407","2"
"20010414","4"
"20010421","12"
"20010428","8"
"20010505","4"
"20010512","16"
"20010519","14"
"20010526","11"
"20010602","9"
"20010609","9"
"20010616","6"
"20010623","1"
"20010630","5"
"20010707","1"
"20010714","9"
"20010721","3"
"20010728","5"
"20010804","2"
"20010811","8"
"20010818","17"
"20010825","21"
"20010901","4"
"20010908","1"
"20010915","3"
"20010922","0"
"20010929","1"
"20011006","3"
"20011013","4"
"20011020","0"
"20011027","1"
"20011103","10"
"20011110","6"
"20011117","1"
"20011124","8"
"20011201","6"
"20011208","2"
"20011215","2"
"20011222","3"
"20011229","4"
"20020105","3"
"20020112","2"
"20020119","0"
"20020126","6"
"20020202","3"
"20020209","2"
"20020216","3"
"20020223","8"
"20020302","5"
"20020309","4"
"20020316","1"
"20020323","5"
"20020330","0"
"20020406","1"
"20020413","0"
"20020420","1"
"20020427","2"
"20020504","1"
"20020511","2"
"20020518","0"
"20020525","2"
"20020601","4"
"20020608","2"
"20020615","0"
"20020622","3"
"20020629","2"
"20020706","1"
"20020713","2"
"20020720","5"
"20020727","3"
"20020803","26"
"20020810","8"
"20020817","4"
"20020824","3"
"20020831","2"
"20020907","1"
"20020914","1"
"20020921","0"
"20020928","1"
"20021005","1"
"20021012","0"
"20021019","1"
"20021026","2"
"20021102","7"
"20021109","12"
"20021116","4"
"20021123","0"
"20021130","5"
"20021207","0"
"20021214","1"
"20021221","0"
"20021228","2"
"20030104","3"
"20030111","0"
"20030118","1"
"20030125","13"
"20030201","0"
"20030208","2"
"20030215","2"
"20030222","0"
"20030301","6"
"20030308","5"
"20030315","1"
"20030322","0"
"20030329","0"
"20030405","0"
"20030412","1"
"20030419","0"
"20030426","0"
"20030503","1"
"20030510","2"
"20030517","0"
"20030524","3"
"20030531","0"
"20030607","0"
"20030614","1"
"20030621","1"
"20030628","0"
"20030705","4"
"20030712","2"
"20030719","2"
"20030726","3"
"20030802","2"
"20030809","2"
"20030816","1"
"20030823","4"
"20030830","4"
"20030906","1"
"20030913","0"
"20030920","3"
"20030927","0"
"20031004","1"
"20031011","1"
"20031018","0"
"20031025","6"
"20031101","3"
"20031108","3"
"20031115","3"
"20031122","12"
"20031129","3"
"20031206","11"
"20031213","3"
"20031220","9"
"20031227","4"
"20040103","1"
"20040110","6"
"20040117","4"
"20040124","5"
"20040131","2"
"20040207","6"
"20040214","3"
"20040221","0"
"20040228","5"
"20040306","10"
"20040313","22"
"20040320","33"
"20040327","10"
"20040403","1"
"20040410","5"
"20040417","2"
"20040424","0"
"20040501","6"
"20040508","0"
"20040515","24"
"20040522","19"
"20040529","2"
"20040605","9"
"20040612","7"
"20040619","8"
"20040626","7"
"20040703","4"
"20040710","10"
"20040717","8"
"20040724","8"
"20040731","16"
"20040807","7"
"20040814","5"
"20040821","5"
"20040828","4"
"20040904","3"
"20040911","8"
"20040918","24"
"20040925","2"
"20041002","2"
"20041009","32"
"20041016","2"
"20041023","7"
"20041030","6"
"20041106","12"
"20041113","3"
"20041120","7"
"20041127","12"
"20041204","11"
"20041211","19"
"20041218","18"
"20041225","10"
"20050101","16"
"20050108","5"
"20050115","13"
"20050122","4"
"20050129","15"
"20050205","1"
"20050212","4"
"20050219","14"
"20050226","8"
"20050305","37"
"20050312","41"
"20050319","7"
"20050326","43"
"20050402","14"
"20050409","6"
"20050416","13"
"20050423","51"
"20050430","61"
"20050507","32"
"20050514","6"
"20050521","3"
