"date","(중국 AND  대만 AND  양안)"
"20000101","3"
"20000102","0"
"20000103","5"
"20000104","0"
"20000105","0"
"20000106","2"
"20000107","0"
"20000108","0"
"20000109","0"
"20000110","1"
"20000111","0"
"20000112","0"
"20000113","0"
"20000114","0"
"20000115","0"
"20000116","0"
"20000117","2"
"20000118","1"
"20000119","2"
"20000120","1"
"20000121","0"
"20000122","0"
"20000123","0"
"20000124","0"
"20000125","0"
"20000126","0"
"20000127","0"
"20000128","0"
"20000129","1"
"20000130","1"
"20000131","3"
"20000201","0"
"20000202","0"
"20000203","0"
"20000204","3"
"20000205","0"
"20000206","0"
"20000207","0"
"20000208","0"
"20000209","0"
"20000210","0"
"20000211","0"
"20000212","0"
"20000213","0"
"20000214","0"
"20000215","0"
"20000216","0"
"20000217","0"
"20000218","3"
"20000219","0"
"20000220","0"
"20000221","0"
"20000222","4"
"20000223","15"
"20000224","9"
"20000225","4"
"20000226","4"
"20000227","0"
"20000228","2"
"20000229","4"
"20000301","0"
"20000302","0"
"20000303","7"
"20000304","4"
"20000305","2"
"20000306","5"
"20000307","0"
"20000308","4"
"20000309","0"
"20000310","5"
"20000311","1"
"20000312","1"
"20000313","2"
"20000314","4"
"20000315","5"
"20000316","8"
"20000317","6"
"20000318","10"
"20000319","13"
"20000320","59"
"20000321","30"
"20000322","21"
"20000323","10"
"20000324","4"
"20000325","4"
"20000326","1"
"20000327","3"
"20000328","0"
"20000329","0"
"20000330","8"
"20000331","4"
"20000401","2"
"20000402","0"
"20000403","3"
"20000404","0"
"20000405","0"
"20000406","0"
"20000407","2"
"20000408","1"
"20000409","0"
"20000410","3"
"20000411","0"
"20000412","5"
"20000413","2"
"20000414","1"
"20000415","6"
"20000416","1"
"20000417","7"
"20000418","3"
"20000419","1"
"20000420","1"
"20000421","2"
"20000422","7"
"20000423","3"
"20000424","2"
"20000425","0"
"20000426","0"
"20000427","1"
"20000428","2"
"20000429","2"
"20000430","0"
"20000501","2"
"20000502","0"
"20000503","6"
"20000504","0"
"20000505","2"
"20000506","2"
"20000507","2"
"20000508","2"
"20000509","0"
"20000510","2"
"20000511","0"
"20000512","7"
"20000513","4"
"20000514","0"
"20000515","5"
"20000516","1"
"20000517","1"
"20000518","7"
"20000519","7"
"20000520","13"
"20000521","6"
"20000522","17"
"20000523","7"
"20000524","1"
"20000525","1"
"20000526","5"
"20000527","0"
"20000528","0"
"20000529","1"
"20000530","3"
"20000531","1"
"20000601","1"
"20000602","1"
"20000603","0"
"20000604","0"
"20000605","0"
"20000606","0"
"20000607","2"
"20000608","0"
"20000609","0"
"20000610","1"
"20000611","0"
"20000612","5"
"20000613","3"
